index,slug,category,level,updated_date,duration_text,title,pdf_filename,status,step_count,pdf_page_count,url
188,vibe-code-with-gemini-in-aistudio,AI / Gemini / Agent / Vertex AI,初階,2026-04-15,,在 Google AI Studio 使用 Gemini 進行直覺式程式開發,188__vibe-code-with-gemini-in-aistudio__在-Google-AI-Studio-使用-Gemini-進行直覺式程式開發.pdf,passed,9,14,https://codelabs.developers.google.com/vibe-code-with-gemini-in-aistudio?hl=zh-tw
191,design-to-code-with-antigravity-stitch,AI / Gemini / Agent / Vertex AI,初階,2026-04-15,,使用 Antigravity 和 Stitch MCP 將設計轉為程式碼,191__design-to-code-with-antigravity-stitch__使用-Antigravity-和-Stitch-MCP-將設計轉為程式碼.pdf,passed,7,12,https://codelabs.developers.google.com/design-to-code-with-antigravity-stitch?hl=zh-tw
200,quick-guide-to-gemini-cli,AI / Gemini / Agent / Vertex AI,初階,2026-04-15,,Gemini CLI 快速指南,200__quick-guide-to-gemini-cli__Gemini-CLI-快速指南.pdf,passed,7,17,https://codelabs.developers.google.com/codelabs/quick-guide-to-gemini-cli?hl=zh-tw
98,next26-looker-agentic-lookml,AI / Gemini / Agent / Vertex AI,初階,2026-04-20,,使用代理式程式設計工具撰寫 LookML,098__next26-looker-agentic-lookml__使用代理式程式設計工具撰寫-LookML.pdf,passed,7,20,https://codelabs.developers.google.com/next26/looker-agentic-lookml?hl=zh-tw
80,next26-gemini-cloud-assist-cost-optimization,AI / Gemini / Agent / Vertex AI,初階,2026-04-22,,運用 Gemini Cloud Assist 最佳化應用程式成本,080__next26-gemini-cloud-assist-cost-optimization__運用-Gemini-Cloud-Assist-最佳化應用程式成本.pdf,passed,9,12,https://codelabs.developers.google.com/next26/gemini-cloud-assist-cost-optimization?hl=zh-tw
88,next26-gemini-cloud-assist-debug-database,AI / Gemini / Agent / Vertex AI,初階,2026-04-22,,使用 Gemini Cloud Assist 找出及修正應用程式問題,088__next26-gemini-cloud-assist-debug-database__使用-Gemini-Cloud-Assist-找出及修正應用程式問題.pdf,passed,9,20,https://codelabs.developers.google.com/next26/gemini-cloud-assist-debug-database?hl=zh-tw
65,google-workspace-mcp-gemini-cli,AI / Gemini / Agent / Vertex AI,初階,2026-04-28,34 分鐘,開始使用 Google Workspace MCP 和 Gemini CLI,065__google-workspace-mcp-gemini-cli__開始使用-Google-Workspace-MCP-和-Gemini-CLI.pdf,passed,8,14,https://codelabs.developers.google.com/google-workspace-mcp-gemini-cli?hl=zh-tw
5,google-workspace-mcp-antigravity,AI / Gemini / Agent / Vertex AI,初階,2026-05-13,34 分鐘,Google Antigravity 中的 Google Workspace MCP 伺服器,005__google-workspace-mcp-antigravity__Google-Antigravity-中的-Google-Workspace-MCP-伺服器.pdf,passed,7,21,https://codelabs.developers.google.com/google-workspace-mcp-antigravity?hl=zh-tw
11,gemini-object-detection-and-editing-notebook,AI / Gemini / Agent / Vertex AI,初階,2026-05-13,,運用 Gemini 和 Nano Banana 偵測及編輯視覺物件,011__gemini-object-detection-and-editing-notebook__運用-Gemini-和-Nano-Banana-偵測及編輯視覺物件.pdf,passed,4,7,https://codelabs.developers.google.com/gemini-object-detection-and-editing-notebook?hl=zh-tw
664,cloud-run-how-to-fine-tune-model-cloud-run-jobs,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,如何使用 Cloud Run 工作微調 LLM,664__cloud-run-how-to-fine-tune-model-cloud-run-jobs__如何使用-Cloud-Run-工作微調-LLM.pdf,passed,9,16,https://codelabs.developers.google.com/codelabs/cloud-run/how-to-fine-tune-model-cloud-run-jobs?hl=zh-tw
675,gemini-code-assist-developer-aisummarization-jss,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,55 分鐘,使用 Gemini Code Assist 探索及強化 AI 摘要快速部署解決方案,675__gemini-code-assist-developer-aisummarization-jss__使用-Gemini-Code-Assist-探索及強化-AI-摘要快速部署解決方案.pdf,passed,13,25,https://codelabs.developers.google.com/codelabs/gemini-code-assist-developer-aisummarization-jss?hl=zh-tw
679,genai-text-gen-java-palm-langchain4j,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,運用 PaLM 和 LangChain4j，以 Java 建立生成式 AI 產生文字,"679__genai-text-gen-java-palm-langchain4j__運用-PaLM-和-LangChain4j,以-Java-建立生成式-AI-產生文字.pdf",passed,8,25,https://codelabs.developers.google.com/codelabs/genai-text-gen-java-palm-langchain4j?hl=zh-tw
684,eventarc-events-gke,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,46 分鐘,透過 Eventarc 事件觸發 Kubernetes 服務,684__eventarc-events-gke__透過-Eventarc-事件觸發-Kubernetes-服務.pdf,passed,10,24,https://codelabs.developers.google.com/codelabs/eventarc-events-gke?hl=zh-tw
686,dialogflow-generative-fallback,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,運用生成式備用答覆，提高意圖涵蓋率並妥善處理錯誤,"686__dialogflow-generative-fallback__運用生成式備用答覆,提高意圖涵蓋率並妥善處理錯誤.pdf",passed,10,29,https://codelabs.developers.google.com/codelabs/dialogflow-generative-fallback?hl=zh-tw
700,agentspace-psc-hybrid-neg-crosscloud,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,34 分鐘,Agentspace Hybrid NEG 至跨雲端自行代管的資料庫,700__agentspace-psc-hybrid-neg-crosscloud__Agentspace-Hybrid-NEG-至跨雲端自行代管的資料庫.pdf,passed,12,21,https://codelabs.developers.google.com/agentspace-psc-hybrid-neg-crosscloud?hl=zh-tw
714,bigquery-image-analysis-gemini,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,22 分鐘,在 BigQuery 使用遠端模型分析電影海報,714__bigquery-image-analysis-gemini__在-BigQuery-使用遠端模型分析電影海報.pdf,passed,11,22,https://codelabs.developers.google.com/bigquery-image-analysis-gemini?hl=zh-tw
718,ca-api-bigquery,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,45 分鐘,Conversational Analytics API 簡介,718__ca-api-bigquery__Conversational-Analytics-API-簡介.pdf,passed,10,25,https://codelabs.developers.google.com/ca-api-bigquery?hl=zh-tw
722,bookshelf-duetai-web-cloudrun,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,書架分析：使用 Gemini 建構 Java Cloud Run 應用程式，將 BigQuery 資料傳送至網頁,"722__bookshelf-duetai-web-cloudrun__書架分析-使用-Gemini-建構-Java-Cloud-Run-應用程式,將-BigQuery-資料傳送至網頁.pdf",passed,10,19,https://codelabs.developers.google.com/bookshelf-duetai-web-cloudrun?hl=zh-tw
734,gen-ai-o11y-for-devs-gen-ai-o11y-nodejs,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,JavaScript 生成式 AI 應用程式的實務觀測技巧,734__gen-ai-o11y-for-devs-gen-ai-o11y-nodejs__JavaScript-生成式-AI-應用程式的實務觀測技巧.pdf,passed,13,29,https://codelabs.developers.google.com/codelabs/gen-ai-o11y-for-devs/gen-ai-o11y-nodejs?hl=zh-tw
737,bqml-vertex-prediction,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,Vertex AI：匯出及部署 BigQuery 機器學習模型，以進行預測,"737__bqml-vertex-prediction__Vertex-AI-匯出及部署-BigQuery-機器學習模型,以進行預測.pdf",passed,9,23,https://codelabs.developers.google.com/codelabs/bqml-vertex-prediction?hl=zh-tw
755,gke-build-hybrid-ai-chat-app-on-gke,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,在 GKE 使用 Gemma 和 Gemini 建構混合式 AI 對話應用程式,755__gke-build-hybrid-ai-chat-app-on-gke__在-GKE-使用-Gemma-和-Gemini-建構混合式-AI-對話應用程式.pdf,passed,10,32,https://codelabs.developers.google.com/codelabs/gke/build-hybrid-ai-chat-app-on-gke?hl=zh-tw
757,bookshelf-duetai-bq-sql,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,書架分析：運用 Gemini，透過 BigQuery 和生成式 AI 建構 SQL 應用程式,"757__bookshelf-duetai-bq-sql__書架分析-運用-Gemini,透過-BigQuery-和生成式-AI-建構-SQL-應用程式.pdf",passed,12,24,https://codelabs.developers.google.com/bookshelf-duetai-bq-sql?hl=zh-tw
763,building-applications-in-the-ai-era,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,在 AI 時代建構應用程式,763__building-applications-in-the-ai-era__在-AI-時代建構應用程式.pdf,passed,9,28,https://codelabs.developers.google.com/building-applications-in-the-ai-era?hl=zh-tw
779,bookshelf-duetai-bigquery,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,書架建構工具：使用 Gemini 為 Gemini 應用程式建構 Java Cloud Function,779__bookshelf-duetai-bigquery__書架建構工具-使用-Gemini-為-Gemini-應用程式建構-Java-Cloud-Function.pdf,passed,12,22,https://codelabs.developers.google.com/bookshelf-duetai-bigquery?hl=zh-tw
783,build-google-quality-rag,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,運用 Vertex AI 建構 Google 等級的搜尋系統,783__build-google-quality-rag__運用-Vertex-AI-建構-Google-等級的搜尋系統.pdf,passed,10,17,https://codelabs.developers.google.com/build-google-quality-rag?hl=zh-tw
819,gen-ai-o11y-for-devs-gen-ai-o11y-python,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,Python 生成式 AI 應用程式的實務觀測技巧,819__gen-ai-o11y-for-devs-gen-ai-o11y-python__Python-生成式-AI-應用程式的實務觀測技巧.pdf,passed,13,28,https://codelabs.developers.google.com/codelabs/gen-ai-o11y-for-devs/gen-ai-o11y-python?hl=zh-tw
826,ai-diet-planner,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,使用 Streamlit、Gemini Pro、Vertex AI 和 BigQuery，建構及部署飲食規劃師 AI 代理,"826__ai-diet-planner__使用-Streamlit、Gemini-Pro、Vertex-AI-和-BigQuery,建構及部署飲食規劃師-AI-代理.pdf",passed,6,30,https://codelabs.developers.google.com/ai-diet-planner?hl=zh-tw
829,cloud-genai,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,1 小時 16 分鐘,運用生成式 AI 和 Cloud Run 建構測驗產生器,829__cloud-genai__運用生成式-AI-和-Cloud-Run-建構測驗產生器.pdf,passed,12,32,https://codelabs.developers.google.com/cloud-genai?hl=zh-tw
833,automl-forecasting-with-vertex-ai,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,1 小時 31 分鐘,使用 Vertex AI 建立 AutoML 預測模型,833__automl-forecasting-with-vertex-ai__使用-Vertex-AI-建立-AutoML-預測模型.pdf,passed,5,13,https://codelabs.developers.google.com/codelabs/automl-forecasting-with-vertex-ai?hl=zh-tw
851,chatbots-dialogflow-fulfillment,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,將 Dialogflow 與 Google 日曆整合，瞭解履行作業,"851__chatbots-dialogflow-fulfillment__將-Dialogflow-與-Google-日曆整合,瞭解履行作業.pdf",passed,9,18,https://codelabs.developers.google.com/codelabs/chatbots-dialogflow-fulfillment?hl=zh-tw
866,bigquery-data-preparation-ai-agents,AI / Gemini / Agent / Vertex AI,進階,2026-03-21,,程式碼實驗室：在 BigQuery 使用 AI 代理準備資料,866__bigquery-data-preparation-ai-agents__程式碼實驗室-在-BigQuery-使用-AI-代理準備資料.pdf,passed,12,25,https://codelabs.developers.google.com/bigquery-data-preparation-ai-agents?hl=zh-tw
504,neo4j-vertexai-movie-recommender-python,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,程式碼實驗室：使用 Neo4j 和 Vertex AI 建構電影推薦聊天機器人,504__neo4j-vertexai-movie-recommender-python__程式碼實驗室-使用-Neo4j-和-Vertex-AI-建構電影推薦聊天機器人.pdf,passed,10,26,https://codelabs.developers.google.com/neo4j-vertexai-movie-recommender-python?hl=zh-tw
508,similary-search-spanner-vertex,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 Spanner 和 Vertex AI 執行相似度搜尋,508__similary-search-spanner-vertex__運用-Spanner-和-Vertex-AI-執行相似度搜尋.pdf,passed,8,17,https://codelabs.developers.google.com/codelabs/similary-search-spanner-vertex?hl=zh-tw
519,companion-adk-beginner-instructions,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,打造第一個 AI 幫手：新手研討會,519__companion-adk-beginner-instructions__打造第一個-AI-幫手-新手研討會.pdf,passed,6,26,https://codelabs.developers.google.com/companion-adk-beginner/instructions?hl=zh-tw
528,vertex_multiworker_training,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,Vertex AI：使用 TensorFlow 進行多工作人員訓練和移轉學習,528__vertex_multiworker_training__Vertex-AI-使用-TensorFlow-進行多工作人員訓練和移轉學習.pdf,passed,8,26,https://codelabs.developers.google.com/vertex_multiworker_training?hl=zh-tw
546,patent-search-spanner-gemini,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 Spanner、Vector Search 和 Gemini 1.0 Pro 建構專利搜尋應用程式！,546__patent-search-spanner-gemini__運用-Spanner、Vector-Search-和-Gemini-1.0-Pro-建構專利搜尋應用程式.pdf,passed,11,16,https://codelabs.developers.google.com/patent-search-spanner-gemini?hl=zh-tw
548,text-summ-large-docs-stuffing,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,使用 Vertex AI PaLM API 的文字摘要方法,548__text-summ-large-docs-stuffing__使用-Vertex-AI-PaLM-API-的文字摘要方法.pdf,passed,7,11,https://codelabs.developers.google.com/text-summ-large-docs-stuffing?hl=zh-tw
550,vertex-training-200,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,1 小時 24 分鐘,Vertex AI：分散式超參數調整,550__vertex-training-200__Vertex-AI-分散式超參數調整.pdf,passed,8,21,https://codelabs.developers.google.com/vertex-training-200?hl=zh-tw
553,yoga-pose-firestore-vectorsearch-python,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,程式碼實驗室 - 使用 Firestore、Vector Search、Langchain 和 Gemini (Python 版本) 建構情境式瑜珈姿勢推薦應用程式,553__yoga-pose-firestore-vectorsearch-python__程式碼實驗室-使用-Firestore、Vector-Search、Langchain-和-Gemini-(Python-版本)-建構情境式瑜珈姿勢推薦應用程式.pdf,passed,10,26,https://codelabs.developers.google.com/yoga-pose-firestore-vectorsearch-python?hl=zh-tw
555,mdm-with-gemini,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,簡化主要資料管理作業：運用生成式 AI 比對及合併資料！,555__mdm-with-gemini__簡化主要資料管理作業-運用生成式-AI-比對及合併資料.pdf,passed,12,18,https://codelabs.developers.google.com/mdm-with-gemini?hl=zh-tw
558,generative-insights-sqlonly,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 BigQuery SQL 和 Vertex AI 取得生成式洞察資料,558__generative-insights-sqlonly__運用-BigQuery-SQL-和-Vertex-AI-取得生成式洞察資料.pdf,passed,12,16,https://codelabs.developers.google.com/generative-insights-sqlonly?hl=zh-tw
559,genai-for-dev-gitlab-code-review,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,GitLab - 使用生成式 AI 自動執行程式碼審查作業,559__genai-for-dev-gitlab-code-review__GitLab-使用生成式-AI-自動執行程式碼審查作業.pdf,passed,13,26,https://codelabs.developers.google.com/genai-for-dev-gitlab-code-review?hl=zh-tw
560,how-to-deploy-gemini-powered-chat-app-cloud-run,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,如何在 Cloud Run 部署 Gemini 技術支援的即時通訊應用程式,560__how-to-deploy-gemini-powered-chat-app-cloud-run__如何在-Cloud-Run-部署-Gemini-技術支援的即時通訊應用程式.pdf,passed,11,24,https://codelabs.developers.google.com/codelabs/how-to-deploy-gemini-powered-chat-app-cloud-run?hl=zh-tw
562,llm-codesummarizer-sqlonly,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,透過 Vertex AI PaLM API，使用 BigQuery ML 建立僅限 SQL 的 LLM,"562__llm-codesummarizer-sqlonly__透過-Vertex-AI-PaLM-API,使用-BigQuery-ML-建立僅限-SQL-的-LLM.pdf",passed,12,15,https://codelabs.developers.google.com/llm-codesummarizer-sqlonly?hl=zh-tw
570,how-to-bigquery-remote-functions-imagen-vqa,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,使用 BigQuery 遠端函式，在 SQL 查詢中向 Vertex AI 圖像問題回答 (VQA) 提問,"570__how-to-bigquery-remote-functions-imagen-vqa__使用-BigQuery-遠端函式,在-SQL-查詢中向-Vertex-AI-圖像問題回答-(VQA)-提問.pdf",passed,12,17,https://codelabs.developers.google.com/codelabs/how-to-bigquery-remote-functions-imagen-vqa?hl=zh-tw
571,tfagents-flutter,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 TensorFlow Agents 和 Flutter 打造桌遊,571__tfagents-flutter__運用-TensorFlow-Agents-和-Flutter-打造桌遊.pdf,passed,13,29,https://codelabs.developers.google.com/tfagents-flutter?hl=zh-tw
578,patent-search-alloydb-gemini,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 AlloyDB、Vector Search 和 Vertex AI 建構專利搜尋應用程式！,578__patent-search-alloydb-gemini__運用-AlloyDB、Vector-Search-和-Vertex-AI-建構專利搜尋應用程式.pdf,passed,10,19,https://codelabs.developers.google.com/patent-search-alloydb-gemini?hl=zh-tw
582,deploy-google-adk-agent-to-cloud-run,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,15 分鐘,將 Google-ADK 代理程式部署至 Cloud Run,582__deploy-google-adk-agent-to-cloud-run__將-Google-ADK-代理程式部署至-Cloud-Run.pdf,passed,6,8,https://codelabs.developers.google.com/deploy-google-adk-agent-to-cloud-run?hl=zh-tw
586,vertex-cpr-sklearn,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,54 分鐘,Vertex AI：搭配 Sklearn 使用自訂預測處理常式，預先處理及後續處理資料以執行預測,"586__vertex-cpr-sklearn__Vertex-AI-搭配-Sklearn-使用自訂預測處理常式,預先處理及後續處理資料以執行預測.pdf",passed,9,19,https://codelabs.developers.google.com/codelabs/vertex-cpr-sklearn?hl=zh-tw
587,patent-search-rag-recall,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 AlloyDB 最新的向量搜尋功能，控管 RAG 品質！,"587__patent-search-rag-recall__運用-AlloyDB-最新的向量搜尋功能,控管-RAG-品質.pdf",passed,9,22,https://codelabs.developers.google.com/patent-search-rag-recall?hl=zh-tw
590,vertex-cpr-sklearn,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,Vertex AI：使用 Sklearn 的自訂預測處理常式，預先處理及後續處理預測資料,"590__vertex-cpr-sklearn__Vertex-AI-使用-Sklearn-的自訂預測處理常式,預先處理及後續處理預測資料.pdf",passed,8,21,https://codelabs.developers.google.com/vertex-cpr-sklearn?hl=zh-tw
604,genai-for-dev-gca-dev-use-cases,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 Gemini Code Assist 加速開發,604__genai-for-dev-gca-dev-use-cases__運用-Gemini-Code-Assist-加速開發.pdf,passed,12,27,https://codelabs.developers.google.com/genai-for-dev-gca-dev-use-cases?hl=zh-tw
607,llm-finetuning-supervised,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,微調大型語言模型：Vertex AI 如何讓 LLM 更上一層樓,607__llm-finetuning-supervised__微調大型語言模型-Vertex-AI-如何讓-LLM-更上一層樓.pdf,passed,11,14,https://codelabs.developers.google.com/llm-finetuning-supervised?hl=zh-tw
613,vertex-ai-vision-motion-filter,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,Vertex AI Vision Motion Filter,613__vertex-ai-vision-motion-filter__Vertex-AI-Vision-Motion-Filter.pdf,passed,7,15,https://codelabs.developers.google.com/vertex-ai-vision-motion-filter?hl=zh-tw
614,textsummarizer-llm-vertex-svelte,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,使用 Vertex AI 和 Svelte Kit 的文字摘要應用程式,614__textsummarizer-llm-vertex-svelte__使用-Vertex-AI-和-Svelte-Kit-的文字摘要應用程式.pdf,passed,7,12,https://codelabs.developers.google.com/textsummarizer-llm-vertex-svelte?hl=zh-tw
618,triggering-cloud-functions-from-cloud-storage,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,使用 Eventarc 和 Cloud Run functions，透過 Cloud Storage 觸發事件處理作業,"618__triggering-cloud-functions-from-cloud-storage__使用-Eventarc-和-Cloud-Run-functions,透過-Cloud-Storage-觸發事件處理作業.pdf",passed,10,18,https://codelabs.developers.google.com/triggering-cloud-functions-from-cloud-storage?hl=zh-tw
625,devsite-codelabs-building-ai-agents-vertexai,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,45 分鐘,使用 Vertex AI Agent Builder 建構 AI 虛擬服務專員,625__devsite-codelabs-building-ai-agents-vertexai__使用-Vertex-AI-Agent-Builder-建構-AI-虛擬服務專員.pdf,passed,6,30,https://codelabs.developers.google.com/devsite/codelabs/building-ai-agents-vertexai?hl=zh-tw
626,smart-yoga-pose-search-firestore,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 Firestore、Vector Search 和 Gemini 2.0，打造可依情境推薦瑜珈體式的應用程式 (Java 版本)！,"626__smart-yoga-pose-search-firestore__運用-Firestore、Vector-Search-和-Gemini-2.0,打造可依情境推薦瑜珈體式的應用程式-(Java-版本).pdf",passed,10,22,https://codelabs.developers.google.com/codelabs/smart-yoga-pose-search-firestore?hl=zh-tw
630,how-to-create-cloud-run-service-for-describing-scenes-in-a-video,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,使用 Cloud Run、Video Intelligence API 和 Vertex AI，建立影片場景影像說明服務,"630__how-to-create-cloud-run-service-for-describing-scenes-in-a-video__使用-Cloud-Run、Video-Intelligence-API-和-Vertex-AI,建立影片場景影像說明服務.pdf",passed,10,23,https://codelabs.developers.google.com/codelabs/how-to-create-cloud-run-service-for-describing-scenes-in-a-video?hl=zh-tw
631,smart-shop-agent-alloydb,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,運用 AlloyDB 和 Vertex AI Agent Builder 打造智慧購物助理 - 第 1 部分,631__smart-shop-agent-alloydb__運用-AlloyDB-和-Vertex-AI-Agent-Builder-打造智慧購物助理-第-1-部分.pdf,passed,13,31,https://codelabs.developers.google.com/smart-shop-agent-alloydb?hl=zh-tw
634,vertex-ai-vision-queue-detection,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,Vertex AI Vision 排隊偵測應用程式,634__vertex-ai-vision-queue-detection__Vertex-AI-Vision-排隊偵測應用程式.pdf,passed,11,25,https://codelabs.developers.google.com/vertex-ai-vision-queue-detection?hl=zh-tw
639,how-to-query-vertex-ai-search-cloud-run-service,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,透過 Cloud Run 服務，在 Cloud Storage 使用 Vertex AI Search 搜尋 PDF (非結構化資料),"639__how-to-query-vertex-ai-search-cloud-run-service__透過-Cloud-Run-服務,在-Cloud-Storage-使用-Vertex-AI-Search-搜尋-PDF-(非結構化資料).pdf",passed,8,15,https://codelabs.developers.google.com/codelabs/how-to-query-vertex-ai-search-cloud-run-service?hl=zh-tw
641,generate_creatives_google_ads,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,,如何透過 Vertex AI 生成圖片並上傳至 Google Ads,641__generate_creatives_google_ads__如何透過-Vertex-AI-生成圖片並上傳至-Google-Ads.pdf,passed,9,15,https://codelabs.developers.google.com/generate_creatives_google_ads?hl=zh-tw
642,deploy-lanchain-agent-on-cloud-run,AI / Gemini / Agent / Vertex AI,進階,2026-03-27,程式,在 Cloud Run 部署 LangChain 代理,642__deploy-lanchain-agent-on-cloud-run__在-Cloud-Run-部署-LangChain-代理.pdf,passed,8,11,https://codelabs.developers.google.com/deploy-lanchain-agent-on-cloud-run?hl=zh-tw
