index,slug,title,url,pdf_filename,status,step_count,pdf_page_count,pdf_size_bytes,message
16,smarthome-webrtc,使用 WebRTC 實作 CameraStream | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-webrtc?hl=zh-tw,016__smarthome-webrtc__使用-WebRTC-實作-CameraStream-Cloud-to-cloud-Google-Home-Developers.pdf,passed,6,21,2207183,驗證通過
17,smarthome-washer,將智慧住宅裝置連結至 Google 助理 | Cloud-to-cloud | Google Home Developers,https://developers.home.google.com/codelabs/smarthome-washer?hl=zh-tw,017__smarthome-washer__將智慧住宅裝置連結至-Google-助理-Cloud-to-cloud-Google-Home-Developers.pdf,passed,8,29,2335318,驗證通過
18,google-workspace-mcp-adk,使用 ADK 和 MCP 建構 Google Workspace AI 代理,https://codelabs.developers.google.com/google-workspace-mcp-adk?hl=zh-tw,018__google-workspace-mcp-adk__使用-ADK-和-MCP-建構-Google-Workspace-AI-代理.pdf,passed,8,22,1053752,驗證通過
19,health-codelabs-make-your-first-api-call,發出第一個 Google Health API 呼叫 | Google for Developers,https://developers.google.com/health/codelabs/make-your-first-api-call?hl=zh-tw,019__health-codelabs-make-your-first-api-call__發出第一個-Google-Health-API-呼叫-Google-for-Developers.pdf,passed,7,16,1148418,驗證通過
20,health-codelabs-make-your-first-api-call-using-oauth2-playground,使用 OAuth2 Playground 發出第一個 Google Health API 呼叫 | Google for Developers,https://developers.google.com/health/codelabs/make-your-first-api-call-using-oauth2-playground?hl=zh-tw,020__health-codelabs-make-your-first-api-call-using-oauth2-playground__使用-OAuth2-Playground-發出第一個-Google-Health-API-呼叫-Google-for-Developers.pdf,passed,6,12,787092,驗證通過
21,gke-ai-toolkit-lab-1,,https://codelabs.developers.google.com/codelabs/gke/ai-toolkit-lab-1?hl=zh-tw,,failed,0,,,RuntimeError: 這個頁面沒有偵測到 Codelab 步驟，已略過以避免產生假 PDF。
22,th-ai-live-labs-26-alloydb-querydata,Thailand AI Live + Labs 26 - QueryData for AlloyDB using Gemini Data Analytics,https://codelabs.developers.google.com/th-ai-live-labs-26-alloydb-querydata?hl=zh-tw,022__th-ai-live-labs-26-alloydb-querydata__Thailand-AI-Live-Labs-26-QueryData-for-AlloyDB-using-Gemini-Data-Analytics.pdf,passed,14,36,5247075,驗證通過
23,travel-agent-mcp-toolbox-adk,使用 MCP Toolbox for Databases 和 Agent Development Kit (ADK) 建構旅遊代理,https://codelabs.developers.google.com/travel-agent-mcp-toolbox-adk?hl=zh-tw,023__travel-agent-mcp-toolbox-adk__使用-MCP-Toolbox-for-Databases-和-Agent-Development-Kit-(ADK)-建構旅遊代理.pdf,passed,11,33,3678663,驗證通過
24,mcp-toolbox-bigquery-dataset,MCP Toolbox for Databases：讓 MCP 用戶端存取 BigQuery 資料集,https://codelabs.developers.google.com/mcp-toolbox-bigquery-dataset?hl=zh-tw,024__mcp-toolbox-bigquery-dataset__MCP-Toolbox-for-Databases-讓-MCP-用戶端存取-BigQuery-資料集.pdf,passed,11,24,2701586,驗證通過
25,next26-ultimate-cloud-run-guide,從零開始到實際工作環境的 Cloud Run 終極指南,https://codelabs.developers.google.com/next26/ultimate-cloud-run-guide?hl=zh-tw,025__next26-ultimate-cloud-run-guide__從零開始到實際工作環境的-Cloud-Run-終極指南.pdf,passed,10,21,867651,驗證通過
26,bigquery-context-caching,BigQuery 的內容快取：快速、符合成本效益，且以大數據為基礎的生成式 AI,https://codelabs.developers.google.com/bigquery-context-caching?hl=zh-tw,"026__bigquery-context-caching__BigQuery-的內容快取-快速、符合成本效益,且以大數據為基礎的生成式-AI.pdf",passed,7,16,1790667,驗證通過
27,play-billing-subs-replacement,透過 Google Play 帳款服務導入會員方案變更功能,https://codelabs.developers.google.com/codelabs/play-billing-subs-replacement?hl=zh-tw,027__play-billing-subs-replacement__透過-Google-Play-帳款服務導入會員方案變更功能.pdf,passed,14,38,1747549,驗證通過
28,production-ready-ai-roadshow-2-evaluating-multi-agent-systems-evaluating-multi-agent-systems,從氛圍檢查到以資料為依據的服務專員評估,https://codelabs.developers.google.com/codelabs/production-ready-ai-roadshow/2-evaluating-multi-agent-systems/evaluating-multi-agent-systems?hl=zh-tw,028__production-ready-ai-roadshow-2-evaluating-multi-agent-systems-evaluating-multi-a__從氛圍檢查到以資料為依據的服務專員評估.pdf,passed,10,24,2647916,驗證通過
29,production-ready-ai-roadshow-1-building-a-multi-agent-system-building-a-multi-agent-system,建構多代理系統,https://codelabs.developers.google.com/codelabs/production-ready-ai-roadshow/1-building-a-multi-agent-system/building-a-multi-agent-system?hl=zh-tw,029__production-ready-ai-roadshow-1-building-a-multi-agent-system-building-a-multi-ag__建構多代理系統.pdf,passed,13,25,1716495,驗證通過
30,dns-armor-monitoring-dashboard,使用記錄指標和自訂資訊主頁，以圖表呈現 DNS Armor 的進階威脅偵測記錄,https://codelabs.developers.google.com/dns-armor-monitoring-dashboard?hl=zh-tw,"030__dns-armor-monitoring-dashboard__使用記錄指標和自訂資訊主頁,以圖表呈現-DNS-Armor-的進階威脅偵測記錄.pdf",passed,10,27,2169483,驗證通過
31,genai-for-dev-bitbucket-code-review,Bitbucket - 運用生成式 AI 自動審查程式碼,https://codelabs.developers.google.com/genai-for-dev-bitbucket-code-review?hl=zh-tw,031__genai-for-dev-bitbucket-code-review__Bitbucket-運用生成式-AI-自動審查程式碼.pdf,passed,12,27,4984220,驗證通過
32,adk-a2a-agent-runtime,大規模代理：在 Agent Runtime 和 ADK 整合中，透過 A2A 通訊協定建立多代理架構,https://codelabs.developers.google.com/adk-a2a-agent-runtime?hl=zh-tw,"032__adk-a2a-agent-runtime__大規模代理-在-Agent-Runtime-和-ADK-整合中,透過-A2A-通訊協定建立多代理架構.pdf",passed,11,46,2414752,驗證通過
33,how-to-run-inference-cloud-run-gpu-vllm,如何使用 vLLM 在 Cloud Run GPU 上執行 LLM 推論,https://codelabs.developers.google.com/codelabs/how-to-run-inference-cloud-run-gpu-vllm?hl=zh-tw,033__how-to-run-inference-cloud-run-gpu-vllm__如何使用-vLLM-在-Cloud-Run-GPU-上執行-LLM-推論.pdf,passed,8,12,565224,驗證通過
34,gemini-for-developers,開發人員適用的 Gemini,https://codelabs.developers.google.com/gemini-for-developers?hl=zh-tw,034__gemini-for-developers__開發人員適用的-Gemini.pdf,passed,15,29,8520066,驗證通過
35,production-ready-ai-with-gc-3-developing-agents-build-a-multi-agent-system-with-adk,使用 ADK 建構多代理系統,https://codelabs.developers.google.com/codelabs/production-ready-ai-with-gc/3-developing-agents/build-a-multi-agent-system-with-adk?hl=zh-tw,035__production-ready-ai-with-gc-3-developing-agents-build-a-multi-agent-system-with__使用-ADK-建構多代理系統.pdf,passed,14,31,2422304,驗證通過
36,ncc-vpc-as-spoke,程式碼研究室：將 NCC 虛擬私有雲做為輪輻,https://codelabs.developers.google.com/ncc-vpc-as-spoke?hl=zh-tw,036__ncc-vpc-as-spoke__程式碼研究室-將-NCC-虛擬私有雲做為輪輻.pdf,passed,11,27,2641143,驗證通過
37,bigquery-data-science-notebooks,運用 BigQuery 和 AI 輔助的資料科學,https://codelabs.developers.google.com/codelabs/bigquery-data-science-notebooks?hl=zh-tw,037__bigquery-data-science-notebooks__運用-BigQuery-和-AI-輔助的資料科學.pdf,passed,14,27,3862452,驗證通過
38,next26-bigquery-ai-datascience,使用 BigQuery 和 Gemini 模型建構 AI 輔助車輛市集,https://codelabs.developers.google.com/next26/bigquery-ai-datascience?hl=zh-tw,038__next26-bigquery-ai-datascience__使用-BigQuery-和-Gemini-模型建構-AI-輔助車輛市集.pdf,passed,11,26,4082147,驗證通過
39,accelerated-ml-with-gpus,透過 Google Cloud 和 NVIDIA 加速機器學習,https://codelabs.developers.google.com/accelerated-ml-with-gpus?hl=zh-tw,039__accelerated-ml-with-gpus__透過-Google-Cloud-和-NVIDIA-加速機器學習.pdf,passed,14,33,3376321,驗證通過
40,accelerated-analytics-with-gpus,運用 Google Cloud 和 NVIDIA 加速資料分析,https://codelabs.developers.google.com/accelerated-analytics-with-gpus?hl=zh-tw,040__accelerated-analytics-with-gpus__運用-Google-Cloud-和-NVIDIA-加速資料分析.pdf,passed,15,32,2976709,驗證通過
41,spanner-graph-algorithms,Cloud Spanner：使用 Spanner Graph 演算法的 Graph Intelligence,https://codelabs.developers.google.com/spanner-graph-algorithms?hl=zh-tw,041__spanner-graph-algorithms__Cloud-Spanner-使用-Spanner-Graph-演算法的-Graph-Intelligence.pdf,passed,9,27,2968215,驗證通過
42,ai-creative-studio-adk-a2a,運用 Google 代理堆疊建構多代理創意工作室：Cloud Run 和 Agent Runtime 的 ADK、A2A、MCP,https://codelabs.developers.google.com/ai-creative-studio-adk-a2a?hl=zh-tw,042__ai-creative-studio-adk-a2a__運用-Google-代理堆疊建構多代理創意工作室-Cloud-Run-和-Agent-Runtime-的-ADK、A2A、MCP.pdf,passed,16,66,4761387,驗證通過
43,next26-multicloud-lakehouse,建構跨雲端開放式資料湖倉,https://codelabs.developers.google.com/next26/multicloud-lakehouse?hl=zh-tw,043__next26-multicloud-lakehouse__建構跨雲端開放式資料湖倉.pdf,passed,11,31,1449100,驗證通過
44,next26-spanner-bigquery-graph,Spanner 和 BigQuery：即時詐欺防護盾牌,https://codelabs.developers.google.com/next26/spanner-bigquery-graph?hl=zh-tw,044__next26-spanner-bigquery-graph__Spanner-和-BigQuery-即時詐欺防護盾牌.pdf,passed,8,30,2115508,驗證通過
45,next26-multi-agent-system,使用 Gemini 和 Gemma 模型建構多代理系統,https://codelabs.developers.google.com/next26/multi-agent-system?hl=zh-tw,045__next26-multi-agent-system__使用-Gemini-和-Gemma-模型建構多代理系統.pdf,passed,14,22,1802101,驗證通過
46,alloydb-ai-mcp,Google Cloud MCP for AlloyDB for AI Agents,https://codelabs.developers.google.com/alloydb-ai-mcp?hl=zh-tw,046__alloydb-ai-mcp__Google-Cloud-MCP-for-AlloyDB-for-AI-Agents.pdf,passed,13,34,5455859,驗證通過
47,iceberg-biglake-ai-lakehouse,使用 Apache Iceberg 和 BigLake 建構 AI 專用的整合式資料湖倉,https://codelabs.developers.google.com/iceberg-biglake-ai-lakehouse?hl=zh-tw,047__iceberg-biglake-ai-lakehouse__使用-Apache-Iceberg-和-BigLake-建構-AI-專用的整合式資料湖倉.pdf,passed,9,22,893612,驗證通過
48,prompt-encryption-sdk,程式碼實驗室：提示加密 SDK,https://codelabs.developers.google.com/prompt-encryption-sdk?hl=zh-tw,048__prompt-encryption-sdk__程式碼實驗室-提示加密-SDK.pdf,passed,9,11,672298,驗證通過
49,trustable-at-100-mph,以時速 100 英里的速度打造值得信賴的 AI,https://codelabs.developers.google.com/codelabs/trustable-at-100-mph?hl=zh-tw,049__trustable-at-100-mph__以時速-100-英里的速度打造值得信賴的-AI.pdf,passed,12,26,2095831,驗證通過
50,ge-gws-agents,將 Gemini Enterprise 代理與 Google Workspace 整合,https://codelabs.developers.google.com/ge-gws-agents?hl=zh-tw,050__ge-gws-agents__將-Gemini-Enterprise-代理與-Google-Workspace-整合.pdf,passed,7,62,8350365,驗證通過
51,sdd-adk-antigravity,使用 Antigravity 和 Spec-kit 依規格開發 ADK 代理,https://codelabs.developers.google.com/sdd-adk-antigravity?hl=zh-tw,051__sdd-adk-antigravity__使用-Antigravity-和-Spec-kit-依規格開發-ADK-代理.pdf,passed,8,32,8393934,驗證通過
52,agentic-rag-toolbox-cloudsql,資料庫即工具：運用 ADK、MCP Toolbox 和 Cloud SQL 建構代理式 RAG,https://codelabs.developers.google.com/agentic-rag-toolbox-cloudsql?hl=zh-tw,052__agentic-rag-toolbox-cloudsql__資料庫即工具-運用-ADK、MCP-Toolbox-和-Cloud-SQL-建構代理式-RAG.pdf,passed,9,43,2430768,驗證通過
53,c360-bigquery-graph,使用 BigQuery Graph 建構 360 度全方位客戶推薦應用程式,https://codelabs.developers.google.com/codelabs/c360-bigquery-graph?hl=zh-tw,053__c360-bigquery-graph__使用-BigQuery-Graph-建構-360-度全方位客戶推薦應用程式.pdf,passed,11,25,2689016,驗證通過
54,multi-agent-app-toolbox-adk,使用 MCP Toolbox for AlloyDB 和 ADK 建構多代理應用程式,https://codelabs.developers.google.com/multi-agent-app-toolbox-adk?hl=zh-tw,054__multi-agent-app-toolbox-adk__使用-MCP-Toolbox-for-AlloyDB-和-ADK-建構多代理應用程式.pdf,passed,14,27,2094468,驗證通過
55,mediacdn-ls-codelab,透過 Media CDN 和 Live Streaming API 在 Google Cloud 直播,https://codelabs.developers.google.com/mediacdn-ls-codelab?hl=zh-tw,055__mediacdn-ls-codelab__透過-Media-CDN-和-Live-Streaming-API-在-Google-Cloud-直播.pdf,passed,18,43,2450435,驗證通過
56,ge-bumble-workshop,Bumble Gemini Enterprise Day 1 Value Workshop,https://codelabs.developers.google.com/codelabs/ge/bumble-workshop?hl=zh-tw,056__ge-bumble-workshop__Bumble-Gemini-Enterprise-Day-1-Value-Workshop.pdf,passed,13,27,2920262,驗證通過
57,getting-started-google-antigravity,開始使用 Google Antigravity,https://codelabs.developers.google.com/getting-started-google-antigravity?hl=zh-tw,057__getting-started-google-antigravity__開始使用-Google-Antigravity.pdf,passed,11,38,3684063,驗證通過
58,hybrid-search-on-cloudrun,運用 AlloyDB、Gemini 和 Cloud Run，建構及部署動態混合型零售搜尋功能,https://codelabs.developers.google.com/hybrid-search-on-cloudrun?hl=zh-tw,"058__hybrid-search-on-cloudrun__運用-AlloyDB、Gemini-和-Cloud-Run,建構及部署動態混合型零售搜尋功能.pdf",passed,12,33,5105923,驗證通過
59,search-app-with-geminicli,透過 Cloud Run 與 Gemini CLI，運用 AlloyDB 專用的 MCP Toolbox 加速開發資料導向應用程式,https://codelabs.developers.google.com/search-app-with-geminicli?hl=zh-tw,"059__search-app-with-geminicli__透過-Cloud-Run-與-Gemini-CLI,運用-AlloyDB-專用的-MCP-Toolbox-加速開發資料導向應用程式.pdf",passed,11,25,4218833,驗證通過
60,adkcourse-instructions,採用記憶和 MCP 的 ADK 代理模式,https://codelabs.developers.google.com/adkcourse/instructions?hl=zh-tw,060__adkcourse-instructions__採用記憶和-MCP-的-ADK-代理模式.pdf,passed,9,23,4705440,驗證通過
61,secure-agent-modelarmor,使用 Model Armor 建構安全的代理系統,https://codelabs.developers.google.com/secure-agent-modelarmor?hl=zh-tw,061__secure-agent-modelarmor__使用-Model-Armor-建構安全的代理系統.pdf,passed,13,39,7326935,驗證通過
62,scm-alloydb-adk-memorybank,運用 ADK、AlloyDB 和 Vertex AI Memory Bank 打造供應鏈自動調度管理工具,https://codelabs.developers.google.com/scm-alloydb-adk-memorybank?hl=zh-tw,062__scm-alloydb-adk-memorybank__運用-ADK、AlloyDB-和-Vertex-AI-Memory-Bank-打造供應鏈自動調度管理工具.pdf,passed,11,32,2389273,驗證通過
63,google-docs-adk-agent,Google Workspace 中的代理工作流程：使用 ADK 建構 Google 文件代理,https://codelabs.developers.google.com/google-docs-adk-agent?hl=zh-tw,063__google-docs-adk-agent__Google-Workspace-中的代理工作流程-使用-ADK-建構-Google-文件代理.pdf,passed,7,26,2606739,驗證通過
64,next26-dev-keynote-building-agents-with-skills,Next ‘26 開發人員主題演講：使用技能和工具建構 ADK 代理,https://codelabs.developers.google.com/next26/dev-keynote/building-agents-with-skills?hl=zh-tw,064__next26-dev-keynote-building-agents-with-skills__Next-‘26-開發人員主題演講-使用技能和工具建構-ADK-代理.pdf,passed,10,20,1013820,驗證通過
65,google-workspace-mcp-gemini-cli,開始使用 Google Workspace MCP 和 Gemini CLI,https://codelabs.developers.google.com/google-workspace-mcp-gemini-cli?hl=zh-tw,065__google-workspace-mcp-gemini-cli__開始使用-Google-Workspace-MCP-和-Gemini-CLI.pdf,passed,8,14,941442,驗證通過
66,vertexai-gws-agents,將 Vertex AI 代理與 Google Workspace 整合,https://codelabs.developers.google.com/vertexai-gws-agents?hl=zh-tw,066__vertexai-gws-agents__將-Vertex-AI-代理與-Google-Workspace-整合.pdf,passed,7,56,8043129,驗證通過
67,build-and-deploy-gcp-with-antigravity,使用 Antigravity 建構及部署至 Google Cloud,https://codelabs.developers.google.com/build-and-deploy-gcp-with-antigravity?hl=zh-tw,067__build-and-deploy-gcp-with-antigravity__使用-Antigravity-建構及部署至-Google-Cloud.pdf,passed,8,17,2812455,驗證通過
68,hackathon-challenge-lab,黑客松挑戰實驗室,https://codelabs.developers.google.com/hackathon-challenge-lab?hl=zh-tw,068__hackathon-challenge-lab__黑客松挑戰實驗室.pdf,passed,9,26,4396893,驗證通過
69,building-with-google-antigravity,使用 Google Antigravity 建構,https://codelabs.developers.google.com/building-with-google-antigravity?hl=zh-tw,069__building-with-google-antigravity__使用-Google-Antigravity-建構.pdf,passed,7,22,5153320,驗證通過
70,toy-store-app,使用雲端資料庫、無伺服器執行階段和開放原始碼整合功能，建立玩具店搜尋應用程式,https://codelabs.developers.google.com/toy-store-app?hl=zh-tw,"070__toy-store-app__使用雲端資料庫、無伺服器執行階段和開放原始碼整合功能,建立玩具店搜尋應用程式.pdf",passed,16,36,5320972,驗證通過
71,cymbal-bus-agent-mcp-toolbox-java,Cymbal Transit：使用 LangChain4J 和 MCP Toolbox Java SDK 的多代理系統,https://codelabs.developers.google.com/cymbal-bus-agent-mcp-toolbox-java?hl=zh-tw,071__cymbal-bus-agent-mcp-toolbox-java__Cymbal-Transit-使用-LangChain4J-和-MCP-Toolbox-Java-SDK-的多代理系統.pdf,passed,13,29,3430773,驗證通過
72,next26-build-adk-agent-google-mcps,在 Cloud Run 建構及部署寵物護照代理,https://codelabs.developers.google.com/next26/build-adk-agent-google-mcps?hl=zh-tw,072__next26-build-adk-agent-google-mcps__在-Cloud-Run-建構及部署寵物護照代理.pdf,passed,13,19,906223,驗證通過
73,next26-adk-mcp-tools,使用 BigQuery MCP 建構 Google 搜尋趨勢分析師代理程式,https://codelabs.developers.google.com/next26/adk-mcp-tools?hl=zh-tw,073__next26-adk-mcp-tools__使用-BigQuery-MCP-建構-Google-搜尋趨勢分析師代理程式.pdf,passed,7,13,809999,驗證通過
74,next26-brk3-034-securing-workplace-safety,確保工作場所安全偵測系統安全無虞,https://codelabs.developers.google.com/next26/brk3-034-securing-workplace-safety?hl=zh-tw,074__next26-brk3-034-securing-workplace-safety__確保工作場所安全偵測系統安全無虞.pdf,passed,10,17,820155,驗證通過
75,design-android-launcher,設計及預覽應用程式圖示,https://codelabs.developers.google.com/design-android-launcher?hl=zh-tw,075__design-android-launcher__設計及預覽應用程式圖示.pdf,passed,10,36,6810174,驗證通過
76,next26-adk-deploy-scale,Agent Engine 上的有狀態資料科學代理,https://codelabs.developers.google.com/next26/adk-deploy-scale?hl=zh-tw,076__next26-adk-deploy-scale__Agent-Engine-上的有狀態資料科學代理.pdf,passed,10,17,1202092,驗證通過
77,neo4j-adk-graphrag-agents,程式碼研究室 - 使用 ADK 建構 GraphRAG 代理,https://codelabs.developers.google.com/neo4j-adk-graphrag-agents?hl=zh-tw,077__neo4j-adk-graphrag-agents__程式碼研究室-使用-ADK-建構-GraphRAG-代理.pdf,passed,9,25,1694670,驗證通過
78,augimg-intro,ARCore 擴增圖像,https://codelabs.developers.google.com/codelabs/augimg-intro?hl=zh-tw,078__augimg-intro__ARCore-擴增圖像.pdf,passed,6,21,6994017,驗證通過
79,visual-commerce-gemini-3-alloydb,運用 Gemini 3 Flash 和 AlloyDB AI 建構 Autonomous Supply Chain,https://codelabs.developers.google.com/visual-commerce-gemini-3-alloydb?hl=zh-tw,079__visual-commerce-gemini-3-alloydb__運用-Gemini-3-Flash-和-AlloyDB-AI-建構-Autonomous-Supply-Chain.pdf,passed,13,30,3920040,驗證通過
80,next26-gemini-cloud-assist-cost-optimization,運用 Gemini Cloud Assist 最佳化應用程式成本,https://codelabs.developers.google.com/next26/gemini-cloud-assist-cost-optimization?hl=zh-tw,080__next26-gemini-cloud-assist-cost-optimization__運用-Gemini-Cloud-Assist-最佳化應用程式成本.pdf,passed,9,12,1138854,驗證通過
81,next26-dev-keynote-enhancing-agents-with-memory,Next ‘26 開發人員主題演講：運用記憶功能強化代理,https://codelabs.developers.google.com/next26/dev-keynote/enhancing-agents-with-memory?hl=zh-tw,081__next26-dev-keynote-enhancing-agents-with-memory__Next-‘26-開發人員主題演講-運用記憶功能強化代理.pdf,passed,13,21,1038470,驗證通過
82,devsite-codelabs-build-agents-with-adk-empowering-with-tools,使用 ADK 建構 AI 代理：加入工具,https://codelabs.developers.google.com/devsite/codelabs/build-agents-with-adk-empowering-with-tools?hl=zh-tw,082__devsite-codelabs-build-agents-with-adk-empowering-with-tools__使用-ADK-建構-AI-代理-加入工具.pdf,passed,8,17,1820670,驗證通過
83,devsite-codelabs-build-agents-with-adk-foundation,使用 ADK 建構 AI 代理：基礎知識,https://codelabs.developers.google.com/devsite/codelabs/build-agents-with-adk-foundation?hl=zh-tw,083__devsite-codelabs-build-agents-with-adk-foundation__使用-ADK-建構-AI-代理-基礎知識.pdf,passed,10,18,2281017,驗證通過
84,next26-adk-agent2agent,使用 Agent2Agent 的多代理系統,https://codelabs.developers.google.com/next26/adk-agent2agent?hl=zh-tw,084__next26-adk-agent2agent__使用-Agent2Agent-的多代理系統.pdf,passed,12,46,911058,驗證通過
85,anthropic-on-vertexai-psc,透過 Private Service Connect 端點，使用 Python SDK 在 Vertex AI 存取 Anthropic Claude Opus 4.6 和 Gemini 3.1,https://codelabs.developers.google.com/codelabs/anthropic-on-vertexai-psc?hl=zh-tw,"085__anthropic-on-vertexai-psc__透過-Private-Service-Connect-端點,使用-Python-SDK-在-Vertex-AI-存取-Anthropic-Claude-Opus.pdf",passed,10,28,6864745,驗證通過
86,gke-platform-engineering-ai-tools,運用 GKE 和 Gemini CLI 打造平台工程 AI,https://codelabs.developers.google.com/codelabs/gke/platform-engineering-ai-tools?hl=zh-tw,086__gke-platform-engineering-ai-tools__運用-GKE-和-Gemini-CLI-打造平台工程-AI.pdf,passed,7,10,1096700,驗證通過
87,next26-dev-keynote-debugging-agents,2026 年 Next 大會開發人員主題演講：大規模偵錯代理程式,https://codelabs.developers.google.com/next26/dev-keynote/debugging-agents?hl=zh-tw,087__next26-dev-keynote-debugging-agents__2026-年-Next-大會開發人員主題演講-大規模偵錯代理程式.pdf,passed,12,29,23327556,驗證通過
88,next26-gemini-cloud-assist-debug-database,使用 Gemini Cloud Assist 找出及修正應用程式問題,https://codelabs.developers.google.com/next26/gemini-cloud-assist-debug-database?hl=zh-tw,088__next26-gemini-cloud-assist-debug-database__使用-Gemini-Cloud-Assist-找出及修正應用程式問題.pdf,passed,9,20,1323027,驗證通過
89,next26-dev-keynote-intent-to-infrastructure,從意圖到基礎架構：以代理程式驅動遷移至 GKE 的作業,https://codelabs.developers.google.com/next26/dev-keynote/intent-to-infrastructure?hl=zh-tw,089__next26-dev-keynote-intent-to-infrastructure__從意圖到基礎架構-以代理程式驅動遷移至-GKE-的作業.pdf,passed,9,18,1281696,驗證通過
